,ln,dob,gn,fn,is_duplicate,name,concat,hash,indices,prediction
0,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,2,1
1,SALTER JR,01-03-1968,F,WILLIAM,1,WILLIAM SALTER JR,01-03-1968FWILLIAMSALTER JR,NBH8f7yo84rwK9qFN5gU8cyDMppgLxxg/GYx+RVyzy0=,33,1
2,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,37,1
3,SHAFFER JR,21-02-1962,F,WILLIAM,0,WILLIAM SHAFFER JR,21-02-1962FWILLIAMSHAFFER JR,4pHqo2AbDMlfhy+u6w/x2Oz5qtCrpsB4rrkxPSFhNVk=,38,1
4,DHONI ,07-10-1937,M,SINGH ,1,SINGH  DHONI ,07-10-1937MSINGH DHONI ,SV65DDxMRRH26jHN5O9Xn4oZyMt+Nv45PsUDLaT3XCA=,44,1
5,SIDDHARTH ,16-12-1944,M,CHATERJEE,0,CHATERJEE SIDDHARTH ,16-12-1944MCHATERJEESIDDHARTH ,l6yOoAuwY35M3NnVXxW3td2RdHam2y8WYkjeptM/Fmg=,45,1
6,FAGEN JR,07-10-1937,M,HAROLD,0,HAROLD FAGEN JR,07-10-1937MHAROLDFAGEN JR,EpirvtJYvn98nfdM3S9oHFCi6xbDlFtBq3Z0fQgYyg8=,47,1
7,CHAVAS JR,07-10-1937,M,HAROLD,1,HAROLD CHAVAS JR,07-10-1937MHAROLDCHAVAS JR,ilSQ9dpizK4kjv1Hx39VVDtGWXjZs2PhQgREqiY7fpc=,52,1
8,MICHAELSON JR,07-10-1937,M,HAROLD,0,HAROLD MICHAELSON JR,07-10-1937MHAROLDMICHAELSON JR,dj/CF8jEYlwijg9ysuBrfI68WiGdOir7HqQ3bqXTCDg=,53,1
9,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,58,1
10,HANNA,24-11-1934,M,ADDISON,1,ADDISON HANNA,24-11-1934MADDISONHANNA,xNO5wiQApSpvA49U8gWEp5dJomVz5AMfwcSQVhLjjvM=,61,1
11,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,65,1
